mpg,displacement,horsepower,weight,origin
16,318,150,4190,US
15.5,304,120,3962,US
14.5,351,152,4215,US
22,225,100,3233,US
22,250,105,3353,US
24,200,81,3012,US
22.5,232,90,3085,US
29,85,52,2035,US
24.5,98,60,2164,US
29,90,70,1937,Europe
33,91,53,1795,Japan
20,225,100,3651,US
18,250,78,3574,US
18.5,250,110,3645,US
17.5,258,95,3193,US
29.5,97,71,1825,Europe
32,85,70,1990,Japan
28,97,75,2155,Japan
26.5,140,72,2565,US
20,130,102,3150,Europe
13,318,150,3940,US
19,120,88,3270,Europe
19,156,108,2930,Japan
16.5,168,120,3820,Europe
16.5,350,180,4380,US
13,350,145,4055,US
13,302,130,3870,US
13,318,150,3755,US
31.5,98,68,2045,Japan
30,111,80,2155,US
36,79,58,1825,Europe
25.5,122,96,2300,US
33.5,85,70,1945,Japan
17.5,305,145,3880,US
17,260,110,4060,US
15.5,318,145,4140,US
15,302,130,4295,US
17.5,250,110,3520,US
20.5,231,105,3425,US
19,225,100,3630,US
18.5,250,98,3525,US
16,400,180,4220,US
15.5,350,170,4165,US
15.5,400,190,4325,US
16,351,149,4335,US
29,97,78,1940,Europe
24.5,151,88,2740,US
26,97,75,2265,Japan
25.5,140,89,2755,US
30.5,98,63,2051,US
33.5,98,83,2075,US
30,97,67,1985,Japan
30.5,97,78,2190,Europe
22,146,97,2815,Japan
21.5,121,110,2600,Europe
21.5,80,110,2720,Japan
43.1,90,48,1985,Europe
36.1,98,66,1800,US
32.8,78,52,1985,Japan
39.4,85,70,2070,Japan
36.1,91,60,1800,Japan
19.9,260,110,3365,US
19.4,318,140,3735,US
20.2,302,139,3570,US
19.2,231,105,3535,US
20.5,200,95,3155,US
20.2,200,85,2965,US
25.1,140,88,2720,US
20.5,225,100,3430,US
19.4,232,90,3210,US
20.6,231,105,3380,US
20.8,200,85,3070,US
18.6,225,110,3620,US
18.1,258,120,3410,US
19.2,305,145,3425,US
17.7,231,165,3445,US
18.1,302,139,3205,US
17.5,318,140,4080,US
30,98,68,2155,US
27.5,134,95,2560,Japan
27.2,119,97,2300,Japan
30.9,105,75,2230,US
21.1,134,95,2515,Japan
23.2,156,105,2745,US
23.8,151,85,2855,US
23.9,119,97,2405,Japan
20.3,131,103,2830,Europe
17,163,125,3140,Europe
21.6,121,115,2795,Europe
16.2,163,133,3410,Europe
31.5,89,71,1990,Europe
29.5,98,68,2135,Japan
21.5,231,115,3245,US
19.8,200,85,2990,US
22.3,140,88,2890,US
20.2,232,90,3265,US
20.6,225,110,3360,US
17,305,130,3840,US
17.6,302,129,3725,US
16.5,351,138,3955,US
18.2,318,135,3830,US
16.9,350,155,4360,US
15.5,351,142,4054,US
19.2,267,125,3605,US
18.5,360,150,3940,US
31.9,89,71,1925,Europe
34.1,86,65,1975,Japan
35.7,98,80,1915,US
27.4,121,80,2670,US
25.4,183,77,3530,Europe
23,350,125,3900,US
27.2,141,71,3190,Europe
23.9,260,90,3420,US
34.2,105,70,2200,US
34.5,105,70,2150,US
31.8,85,65,2020,Japan
37.3,91,69,2130,Europe
28.4,151,90,2670,US
28.8,173,115,2595,US
26.8,173,115,2700,US
33.5,151,90,2556,US
41.5,98,76,2144,Europe
38.1,89,60,1968,Japan
32.1,98,70,2120,US
37.2,86,65,2019,Japan
28,151,90,2678,US
26.4,140,88,2870,US
24.3,151,90,3003,US
19.1,225,90,3381,US
34.3,97,78,2188,Europe
29.8,134,90,2711,Japan
31.3,120,75,2542,Japan
37,119,92,2434,Japan
32.2,108,75,2265,Japan
46.6,86,65,2110,Japan
27.9,156,105,2800,US
40.8,85,65,2110,Japan
44.3,90,48,2085,Europe
43.4,90,48,2335,Europe
36.4,121,67,2950,Europe
30,146,67,3250,Europe
44.6,91,67,1850,Japan
40.9,85,0,1835,Europe
33.8,97,67,2145,Japan
29.8,89,62,1845,Europe
32.7,168,132,2910,Japan
23.7,70,100,2420,Japan
35,122,88,2500,Europe
23.6,140,0,2905,US
32.4,107,72,2290,Japan
27.2,135,84,2490,US
26.6,151,84,2635,US
25.8,156,92,2620,US
23.5,173,110,2725,US
30,135,84,2385,US
39.1,79,58,1755,Japan
39,86,64,1875,US
35.1,81,60,1760,Japan
32.3,97,67,2065,Japan
37,85,65,1975,Japan
37.7,89,62,2050,Japan
34.1,91,68,1985,Japan
34.7,105,63,2215,US
34.4,98,65,2045,US
29.9,98,65,2380,US
33,105,74,2190,Europe
34.5,100,0,2320,Europe
33.7,107,75,2210,Japan
32.4,108,75,2350,Japan
32.9,119,100,2615,Japan
31.6,120,74,2635,Japan
28.1,141,80,3230,Europe
0,121,110,2800,Europe
30.7,145,76,3160,Europe
25.4,168,116,2900,Japan
24.2,146,120,2930,Japan
22.4,231,110,3415,US
26.6,350,105,3725,US
20.2,200,88,3060,US
17.6,225,85,3465,US
28,112,88,2605,US
27,112,88,2640,US
34,112,88,2395,US
31,112,85,2575,US
29,135,84,2525,US
27,151,90,2735,US
24,140,92,2865,US
23,151,0,3035,US
36,105,74,1980,Europe
37,91,68,2025,Japan
31,91,68,1970,Japan
38,105,63,2125,US
36,98,70,2125,US
36,120,88,2160,Japan
36,107,75,2205,Japan
34,108,70,2245,Japan
38,91,67,1965,Japan
32,91,67,1965,Japan
38,91,67,1995,Japan
25,181,110,2945,US
38,262,85,3015,US
26,156,92,2585,US
22,232,112,2835,US
32,144,96,2665,Japan
36,135,84,2370,US
27,151,90,2950,US
27,140,86,2790,US
44,97,52,2130,Europe
32,135,84,2295,US
28,120,79,2625,US
31,119,82,2720,US
