origin,destination,count,number_of_carriers,carriers/0,air_time,delay,carriers/1,carriers/2,carriers/3,carriers/4,carriers/5,carriers/6,carriers/7,carriers/8
ABQ,APA,220,3,OO,56.92727273,6.640909091,UA,WN,,,,,,
ABQ,ELP,57,1,WN,38.71929825,23.77192982,,,,,,,,
ABQ,FWS,246,1,AA,76.1097561,2.947154472,,,,,,,,
ABQ,IAH,281,3,CO,97.6405694,4.323843416,WN,XE,,,,,,
ABQ,MCI,54,1,WN,89.44444444,3.87037037,,,,,,,,
ABQ,LAS,169,1,WN,78.40828402,7.24260355,,,,,,,,
ABQ,LAX,319,2,OO,83.87460815,4.476489028,WN,,,,,,,
ABQ,LBB,31,1,WN,40.51612903,7.258064516,,,,,,,,
ABQ,MAF,30,1,WN,43.66666667,31.43333333,,,,,,,,
ABQ,MSP,55,1,NW,123.9272727,-2.963636364,,,,,,,,
ABQ,OAK,85,1,WN,136.0588235,8.847058824,,,,,,,,
ABQ,MCO,32,1,WN,178.71875,-12.9375,,,,,,,,
ABQ,PHX,617,3,US,53.45056726,3.580226904,WN,YV,,,,,,
ABQ,PDX,31,1,WN,165.6129032,-9.387096774,,,,,,,,
ABQ,SLC,197,2,OO,81.70050761,5.670050761,WN,,,,,,,
ABQ,SAN,62,1,WN,98.09677419,0.693548387,,,,,,,,
ABQ,SFO,31,1,OO,135.7741935,0.225806452,,,,,,,,
ABQ,SEA,58,1,WN,172.7241379,-6.551724138,,,,,,,,
ABQ,STL,31,1,WN,115.0967742,10.5483871,,,,,,,,
ABQ,TPA,1,1,WN,180,7,,,,,,,,
ABQ,TUS,62,1,WN,54.5483871,6.838709677,,,,,,,,
ABQ,DCA,31,1,UA,162.7096774,-12,,,,,,,,
AEX,ATL,92,1,EV,67.76086957,9.608695652,,,,,,,,
AEX,FWS,93,1,MQ,47.47311828,23.68817204,,,,,,,,
AEX,IAH,93,1,XE,35.17204301,15.07526882,,,,,,,,
AEX,MEM,58,1,9E,49.62068966,19.4137931,,,,,,,,
ABE,ATL,52,1,EV,113.0576923,21.19230769,,,,,,,,
ABE,CLT,31,1,US,82.35483871,22.74193548,,,,,,,,
ABE,ORD,88,3,OO,103.4318182,25,XE,YV,,,,,,
ABE,BKL,26,1,XE,61.11538462,2.653846154,,,,,,,,
ABE,DET,88,1,9E,82.18181818,4.75,,,,,,,,
ABE,FLL,14,1,FL,161.7857143,13.92857143,,,,,,,,
ABE,MCO,21,1,FL,129.4285714,8.095238095,,,,,,,,
AMA,DAL,195,1,WN,50.2,8.676923077,,,,,,,,
AMA,APA,61,1,WN,56.67213115,-0.049180328,,,,,,,,
AMA,FWS,149,1,MQ,48.59060403,15,,,,,,,,
AMA,IAH,107,1,XE,74.80373832,8.196261682,,,,,,,,
AMA,LAS,31,1,WN,115.6451613,4.096774194,,,,,,,,
ANC,BET,85,1,AS,59.15294118,1.376470588,,,,,,,,
ANC,ORD,31,1,AS,345.7419355,28.29032258,,,,,,,,
ANC,CDV,28,1,AS,33.14285714,5.607142857,,,,,,,,
ANC,SCC,26,1,AS,87.30769231,-6,,,,,,,,
ANC,FAI,221,1,AS,40.62895928,-0.601809955,,,,,,,,
ANC,HNL,31,1,AS,351.8709677,3.193548387,,,,,,,,
ANC,JNU,84,1,AS,79.5952381,7.928571429,,,,,,,,
ANC,OGG,13,1,AS,349.1538462,4.923076923,,,,,,,,
ANC,ADQ,55,1,AS,40.34545455,3.727272727,,,,,,,,
ANC,OTZ,60,1,AS,68.41666667,4.566666667,,,,,,,,
ANC,MSP,46,1,NW,289.8043478,-5.282608696,,,,,,,,
ANC,OME,30,1,AS,72.03333333,1.633333333,,,,,,,,
ANC,PHX,257,1,US,87.37354086,5.101167315,,,,,,,,
ANC,PDX,31,1,AS,190.6129032,11.09677419,,,,,,,,
ANC,SLC,31,1,DL,246.0967742,2.516129032,,,,,,,,
ANC,SEA,448,2,AS,177.4419643,7.008928571,CO,,,,,,,
ATW,ATL,27,1,EV,114.8148148,19.66666667,,,,,,,,
ATW,ORD,169,2,OO,36.13017751,25.58579882,YV,,,,,,,
ATW,APA,29,1,OO,126.7931034,17.24137931,,,,,,,,
ATW,DET,88,1,9E,48.54545455,2.034090909,,,,,,,,
ATW,MSP,109,2,9E,42.19266055,0.513761468,OH,,,,,,,
AVL,ATL,262,1,EV,35.79389313,19.33587786,,,,,,,,
AVL,ORD,29,1,OO,75.89655172,44.5862069,,,,,,,,
AVL,DET,31,1,9E,73.96774194,7.612903226,,,,,,,,
AVL,IAH,29,1,XE,130.6206897,24.62068966,,,,,,,,
AVL,EWR,32,1,XE,75.90625,20.78125,,,,,,,,
AVL,MCO,14,1,FL,69.71428571,24.42857143,,,,,,,,
BKW,ICDV,10,1,OH,25.5,17.9,,,,,,,,
ASE,ATL,13,1,OO,147.7692308,36.15384615,,,,,,,,
ASE,ORD,51,1,OO,134,49.31372549,,,,,,,,
ASE,APA,317,2,OO,26.07886435,15.94952681,YV,,,,,,,
ASE,LAX,161,1,OO,63.73291925,2.118012422,,,,,,,,
ASE,SLC,14,1,OO,55.07142857,17.07142857,,,,,,,,
ASE,SFO,15,1,OO,104.3333333,18.6,,,,,,,,
ATL,ACY,62,1,FL,81.88709677,-5.435483871,,,,,,,,
ATL,AGS,251,1,EV,27.02788845,8.354581673,,,,,,,,
ATL,AUS,172,3,DL,127.9709302,9.01744186,EV,OO,,,,,,
ATL,BWI,501,2,DL,71.70259481,8.79241517,FL,,,,,,,
ATL,BTR,183,1,EV,75.40437158,20.27322404,,,,,,,,
ATL,BHM,379,3,DL,30.19261214,6.353562005,EV,OH,,,,,,
ATL,BMI,207,2,EV,77.07246377,12.37198068,FL,,,,,,,
ATL,BOS,473,2,DL,112.8245243,0.803382664,FL,,,,,,,
ATL,BZN,11,1,DL,226.8181818,-8.909090909,,,,,,,,
ATL,SRQ,275,4,DL,65.64727273,10.13454545,EV,FL,OH,,,,,
ATL,SGF,43,1,FL,86.3255814,10.37209302,,,,,,,,
ATL,TRI,212,2,EV,35.52830189,-1.608490566,OO,,,,,,,
ATL,BQK,81,1,EV,38.65432099,-1.197530864,,,,,,,,
ATL,BUF,241,3,DL,90.15352697,2.468879668,EV,FL,,,,,,
ATL,CHS,297,5,9E,40.89225589,4.03030303,DL,EV,FL,OH,,,,
ATL,CRW,120,1,EV,49.38333333,5.258333333,,,,,,,,
ATL,X66,61,1,DL,187.2786885,3.540983607,,,,,,,,
ATL,CLT,583,6,9E,40.79245283,12.0806175,DL,EV,FL,US,YV,,,
ATL,CHO,73,1,EV,56.05479452,-2.95890411,,,,,,,,
ATL,CHA,249,1,EV,23.29718876,9.638554217,,,,,,,,
ATL,ORD,930,9,9E,87.65913978,9.12688172,AA,DL,EV,FL,MQ,OO,UA,YV
ATL,STX,11,1,DL,194.6363636,-5.272727273,,,,,,,,
ATL,ICDV,160,5,9E,58.15625,8.13125,DL,EV,OH,OO,,,,
ATL,BKL,220,3,EV,76.73181818,2.059090909,OO,XE,,,,,,
ATL,COS,32,1,DL,175.78125,3.1875,,,,,,,,
ATL,CUB,301,2,DL,31.99335548,7.182724252,EV,,,,,,,
ATL,CSG,135,1,EV,21.79259259,2.896296296,,,,,,,,
ATL,UBS,54,1,EV,44.11111111,4.203703704,,,,,,,,
ATL,CMH,246,3,DL,64.29268293,1.93495935,EV,FL,,,,,,
ATL,DAY,335,4,9E,62.74626866,4.301492537,DL,EV,FL,,,,,
ATL,DAB,159,2,DL,52.86163522,6.949685535,EV,,,,,,,
ATL,APA,415,4,DL,176.8096386,5.877108434,F9,FL,YV,,,,,
ATL,DSM,59,1,EV,99.59322034,8.93220339,,,,,,,,
ATL,DET,388,3,9E,86.46907216,2.719072165,DL,FL,,,,,,
ATL,DHN,116,1,EV,27.93965517,2.379310345,,,,,,,,
ATL,RDU,442,4,9E,52.66289593,4.15158371,DL,EV,FL,,,,,
ATL,EGE,13,1,DL,183.9230769,-15.23076923,,,,,,,,
ATL,ELP,78,3,DL,187.0128205,10.64102564,EV,OO,,,,,,
ATL,EVV,88,1,EV,54.80681818,4.193181818,,,,,,,,
ATL,FYV,153,3,9E,88.05882353,10.68627451,EV,OO,,,,,,
ATL,FAY,264,1,EV,45.6969697,7.814393939,,,,,,,,
ATL,FNT,243,2,EV,86.30864198,9.279835391,FL,,,,,,,
ATL,FLO,29,1,EV,37.96551724,10.27586207,,,,,,,,
ATL,FLL,683,2,DL,86.49633968,13.19619327,FL,,,,,,,
ATL,FWA,60,1,EV,71.21666667,8.666666667,,,,,,,,
ATL,FWS,758,3,AA,119.1319261,11.42084433,DL,FL,,,,,,
ATL,FMY,378,2,DL,76.02645503,9.928571429,FL,,,,,,,
ATL,GNV,181,1,EV,47.09392265,8.447513812,,,,,,,,
ATL,GRR,110,2,EV,85.98181818,7.181818182,OH,,,,,,,
ATL,GSO,271,3,EV,47.46863469,10.57195572,OH,OO,,,,,,
ATL,GSP,268,3,9E,27.19776119,4.126865672,EV,OO,,,,,,
ATL,GPT,215,3,9E,58.49302326,7.130232558,DL,EV,,,,,,
ATL,GUC,2,1,DL,181.5,-24.5,,,,,,,,
ATL,MDT,116,1,EV,77.81034483,3.525862069,,,,,,,,
ATL,HFD,176,1,DL,106.4261364,-2.409090909,,,,,,,,
ATL,HDN,12,1,DL,192.6666667,-19.83333333,,,,,,,,
ATL,HNL,31,1,NW,591.0645161,53.19354839,,,,,,,,
ATL,IAH,763,8,9E,112.1756225,15.59895151,CO,DL,EV,FL,OH,OO,XE,
ATL,HSV,307,3,DL,32.40390879,4.058631922,EV,OH,,,,,,
ATL,IND,311,4,DL,65.59485531,7.800643087,EV,FL,OO,,,,,
ATL,JAC,12,1,DL,215.0833333,-24.5,,,,,,,,
ATL,VQQ,467,2,DL,43.07494647,7.325481799,FL,,,,,,,
ATL,OAJ,118,1,EV,53.50847458,1.872881356,,,,,,,,
ATL,MCI,354,6,9E,107.6440678,8.661016949,DL,EV,FL,OH,OO,,,
ATL,EYW,94,2,DL,85.37234043,15.0212766,EV,,,,,,,
ATL,ILE,53,1,EV,124.1320755,8.358490566,,,,,,,,
ATL,DKX,260,2,9E,28.68461538,4.042307692,EV,,,,,,,
ATL,LFT,87,1,EV,80.49425287,6.494252874,,,,,,,,
ATL,LAS,341,2,DL,249.3049853,-0.11143695,FL,,,,,,,
ATL,LEX,232,1,EV,47.59482759,7.788793103,,,,,,,,
ATL,LIT,255,1,EV,73.99215686,9.996078431,,,,,,,,
ATL,LAX,520,2,DL,221.7269231,3.573076923,FL,,,,,,,
ATL,SDF,245,4,9E,53.66938776,9.036734694,DL,EV,OH,,,,,
ATL,LYH,67,1,EV,49.56716418,-0.179104478,,,,,,,,
ATL,MHT,31,1,EV,109.9032258,-1.903225806,,,,,,,,
ATL,MLB,178,2,DL,64.82022472,6.93258427,EV,,,,,,,
ATL,MEM,395,4,9E,58.4556962,7.858227848,DL,EV,FL,,,,,
ATL,MEI,58,1,EV,48.70689655,9.24137931,,,,,,,,
ATL,MIA,515,3,AA,86.49320388,11.33203883,DL,FL,,,,,,
ATL,MWC,296,5,9E,92.32094595,3.692567568,DL,EV,FL,OO,,,,
ATL,MSP,456,2,DL,132.0657895,1.186403509,FL,,,,,,,
ATL,BFM,230,2,DL,53.34347826,4.291304348,EV,,,,,,,
ATL,MLI,207,2,EV,89.44927536,6.47826087,FL,,,,,,,
ATL,MLU,81,1,EV,72.83950617,6.345679012,,,,,,,,
ATL,MGM,230,1,EV,32.10434783,4.065217391,,,,,,,,
ATL,MTJ,12,2,DL,195.6666667,-13.41666667,OO,,,,,,,
ATL,MYR,184,1,EV,44.97282609,3.994565217,,,,,,,,
ATL,BNA,295,5,9E,39.27457627,6.586440678,DL,EV,OH,OO,,,,
ATL,EWN,76,1,EV,56.27631579,1.894736842,,,,,,,,
ATL,MSY,415,5,9E,74.00240964,11.04337349,DL,EV,FL,OO,,,,
ATL,JFK,911,2,DL,93.39077936,5.24478595,FL,,,,,,,
ATL,EWR,477,4,9E,92.76310273,16.09643606,CO,DL,XE,,,,,
ATL,PHF,357,3,DL,64.8767507,9.481792717,EV,FL,,,,,,
ATL,ORF,190,2,DL,65.13157895,1.515789474,EV,,,,,,,
ATL,OKC,173,3,9E,111.849711,14.05780347,EV,OO,,,,,,
ATL,OMA,140,3,EV,117.4357143,10.94285714,OH,OO,,,,,,
ATL,ONT,31,1,DL,265.8709677,12.03225806,,,,,,,,
ATL,MCO,843,2,DL,61.34994069,10.39383155,FL,,,,,,,
ATL,PFN,231,1,EV,43.52813853,11.00865801,,,,,,,,
ATL,PNS,386,4,9E,47.56994819,4.89119171,DL,EV,FL,,,,,
ATL,PHL,555,3,DL,84.40540541,8.971171171,FL,US,,,,,,
ATL,PHX,543,3,DL,158.1731123,3.368324125,FL,US,,,,,,
ATL,PIT,391,6,9E,68.53196931,3.31713555,DL,EV,FL,OH,OO,,,
ATL,PWM,78,2,9E,115.1666667,-4.730769231,EV,,,,,,,
ATL,PDX,86,1,DL,295.6860465,-7.406976744,,,,,,,,
ATL,POU,31,1,EV,102.483871,4.935483871,,,,,,,,
ATL,PVD,88,3,9E,101.6022727,2.647727273,DL,EV,,,,,,
ATL,RNO,8,1,DL,236.625,-10.25,,,,,,,,
ATL,RIC,373,5,9E,60.03753351,4.90080429,DL,EV,FL,OH,,,,
ATL,ROA,131,1,EV,49.99236641,2.916030534,,,,,,,,
ATL,ROC,214,3,9E,89.96261682,4.345794393,DL,FL,,,,,,
ATL,SAC,57,1,DL,291.7894737,-1.824561404,,,,,,,,
ATL,SLC,247,1,DL,226.048583,0.348178138,,,,,,,,
ATL,SAT,362,5,9E,135.2679558,13.70718232,DL,EV,FL,OO,,,,
ATL,SAN,150,1,DL,266.18,-0.68,,,,,,,,
ATL,SFO,247,2,DL,298.2793522,4.453441296,FL,,,,,,,
ATL,SJC,31,1,DL,299.0322581,6.516129032,,,,,,,,
ATL,SIG,194,2,DL,180.3092784,3.819587629,FL,,,,,,,
ATL,SNA,136,1,DL,276.0661765,6.683823529,,,,,,,,
ATL,SAV,309,5,9E,35.61165049,4.828478964,DL,EV,OH,OO,,,,
ATL,SEA,184,2,AS,295.9673913,-6.619565217,DL,,,,,,,
ATL,SHV,165,1,EV,79.91515152,4.951515152,,,,,,,,
ATL,SBN,57,1,EV,81.22807018,-6.49122807,,,,,,,,
ATL,SGF,88,1,EV,87.13636364,1.147727273,,,,,,,,
ATL,STL,340,6,9E,77.35588235,5.832352941,DL,EV,FL,OH,OO,,,
ATL,SYR,88,2,EV,97,15.56818182,OH,,,,,,,
ATL,TLH,289,3,DL,38.83044983,8.283737024,EV,OH,,,,,,
ATL,TPA,603,2,DL,62.54726368,11.41293532,FL,,,,,,,
ATL,TUS,60,1,DL,227.0333333,16.16666667,,,,,,,,
ATL,TUL,130,2,EV,100.5076923,17.66923077,OO,,,,,,,
ATL,VLD,87,1,EV,35.5862069,6.471264368,,,,,,,,
ATL,VPS,284,3,9E,45.78169014,7.714788732,EV,OH,,,,,,
ATL,JAN,270,3,DL,58.98518519,8.225925926,EV,OO,,,,,,
ATL,DCA,1047,7,9E,67.90162369,5.902578797,DL,EV,FL,OH,OO,YV,,
ATL,PBI,393,2,DL,81.50381679,9.872773537,FL,,,,,,,
ATL,HPN,192,3,9E,102.1197917,3.734375,EV,FL,,,,,,
ATL,ICT,229,2,EV,113.6943231,13.04366812,FL,,,,,,,
ATL,ILM,177,1,EV,50.97740113,5.384180791,,,,,,,,
ACY,MCO,29,1,FL,123.862069,-0.034482759,,,,,,,,
AUS,BWI,63,1,WN,149,0.19047619,,,,,,,,
AUS,BOS,31,1,B6,185,4.096774194,,,,,,,,
AUS,CLT,83,1,YV,122.0240964,2.373493976,,,,,,,,
AUS,ORD,236,4,AA,122.6398305,5.974576271,OO,WN,YV,,,,,
AUS,DAL,324,1,WN,38.2191358,3.703703704,,,,,,,,
AUS,APA,247,4,F9,113.6558704,10.27125506,OO,WN,YV,,,,,
AUS,ELP,108,1,WN,82.06481481,10.62037037,,,,,,,,
AUS,FLL,63,2,B6,130.9206349,4.523809524,WN,,,,,,,
AUS,FWS,455,1,AA,38.34065934,3.672527473,,,,,,,,
AUS,IAH,473,3,CO,32.28118393,4.057082452,WN,XE,,,,,,
AUS,LAS,91,1,WN,165.021978,9.945054945,,,,,,,,
AUS,LGB,31,1,B6,181.1935484,24.25806452,,,,,,,,
AUS,LAX,265,2,AA,119.6981132,3.264150943,WN,,,,,,,
AUS,LBB,60,1,WN,51.96666667,7.783333333,,,,,,,,
AUS,MEM,57,1,9E,77.26315789,6.01754386,,,,,,,,
AUS,BNA,57,1,WN,92.01754386,10.24561404,,,,,,,,
AUS,JFK,93,1,B6,173.7311828,9.139784946,,,,,,,,
AUS,EWR,78,1,CO,178.7435897,0.692307692,,,,,,,,
AUS,OAK,31,1,WN,219.0645161,8.806451613,,,,,,,,
AUS,MCO,63,2,B6,119.3492063,8.46031746,WN,,,,,,,
AUS,PHL,31,1,WN,165.8387097,9.612903226,,,,,,,,
AUS,PHX,448,3,US,90.375,6.497767857,WN,YV,,,,,,
AUS,SLC,1,1,OO,162,-4,,,,,,,,
AUS,HRL,31,1,WN,48.38709677,14.19354839,,,,,,,,
AUS,SAN,63,1,WN,167.6349206,12.25396825,,,,,,,,
AUS,SFO,62,2,B6,216.2258065,13.24193548,UA,,,,,,,
AUS,SJC,31,1,AS,220.8709677,33.61290323,,,,,,,,
AUS,SEA,27,1,AS,243.037037,12.14814815,,,,,,,,
AUS,TPA,32,1,WN,110.40625,1.53125,,,,,,,,
AUS,DCA,4,1,YV,155.25,3.75,,,,,,,,
BFL,APA,31,1,OO,116,-8.516129032,,,,,,,,
BFL,LAX,207,1,OO,41.49758454,-0.980676329,,,,,,,,
BFL,PHX,301,1,YV,50.30232558,2.059800664,,,,,,,,
BFL,SFO,90,1,OO,58.05555556,3.566666667,,,,,,,,
BWI,BHM,87,1,WN,112.1724138,16.59770115,,,,,,,,
BWI,BOS,514,3,B6,56.57976654,8.060311284,FL,WN,,,,,,
BWI,SRQ,29,1,FL,129.2413793,14.72413793,,,,,,,,
BWI,BUF,173,1,WN,47.43930636,18.82080925,,,,,,,,
BWI,CLT,291,2,FL,65.74914089,4.848797251,US,,,,,,,
BWI,ORD,467,3,MQ,100.3768737,11.5117773,UA,WN,,,,,,
BWI,BKL,171,2,WN,55.77777778,11.73684211,XE,,,,,,,
BWI,CMH,140,1,WN,61.89285714,11.09285714,,,,,,,,
BWI,DAY,87,1,FL,69.91954023,12.55172414,,,,,,,,
BWI,APA,208,2,UA,214.875,3.701923077,WN,,,,,,,
BWI,DET,271,2,NW,70.4797048,6.605166052,WN,,,,,,,
BWI,RDU,173,1,WN,47.42196532,19.90751445,,,,,,,,
BWI,FLL,264,2,FL,132.4166667,17.35984848,WN,,,,,,,
BWI,FWS,177,1,AA,180.7740113,11.20338983,,,,,,,,
BWI,FMY,98,2,FL,136.3367347,11.71428571,WN,,,,,,,
BWI,HFD,230,1,WN,45.65652174,13.1826087,,,,,,,,
BWI,IAH,231,2,CO,187.5194805,13.79220779,WN,,,,,,,
BWI,IND,145,2,FL,85.15172414,5.379310345,WN,,,,,,,
BWI,ISP,175,1,WN,40.82285714,12.58285714,,,,,,,,
BWI,VQQ,87,1,WN,103.2413793,20.11494253,,,,,,,,
BWI,MCI,84,1,WN,152.202381,16.82142857,,,,,,,,
BWI,LAS,63,1,WN,295.6190476,8.603174603,,,,,,,,
BWI,LIT,31,1,WN,143.0645161,16.90322581,,,,,,,,
BWI,LAX,191,2,FL,146.8691099,0.712041885,UA,,,,,,,
BWI,SDF,88,1,WN,86.05681818,16.5,,,,,,,,
BWI,MHT,259,1,WN,56.35907336,10.75289575,,,,,,,,
BWI,MIA,88,2,AA,133.1136364,26.63636364,FL,,,,,,,
BWI,MWC,178,2,FL,98.78651685,5.651685393,WN,,,,,,,
BWI,MSP,71,1,NW,136.4929577,-9.887323944,,,,,,,,
BWI,BNA,204,1,WN,96.58823529,12.81862745,,,,,,,,
BWI,MSY,62,2,FL,150.2580645,10.83870968,WN,,,,,,,
BWI,JFK,155,3,MQ,38.72903226,26.52258065,OH,WN,,,,,,
BWI,EWR,120,1,XE,35.75833333,17.30833333,,,,,,,,
BWI,ORF,113,1,WN,32.0619469,24.31858407,,,,,,,,
BWI,OKC,31,1,WN,174.7096774,5.677419355,,,,,,,,
BWI,MCO,394,2,FL,116.571066,16.12944162,WN,,,,,,,
BWI,PHL,52,1,US,29.65384615,5.557692308,,,,,,,,
BWI,PHX,363,2,US,141.6666667,7.016528926,WN,,,,,,,
BWI,PIT,84,1,WN,39.30952381,10.6547619,,,,,,,,
BWI,PWM,65,1,FL,61.15384615,11.84615385,,,,,,,,
BWI,PVD,259,1,WN,48.95752896,11.42471042,,,,,,,,
BWI,ROC,62,1,FL,47.85483871,12.37096774,,,,,,,,
BWI,SLC,91,2,DL,256.2747253,-1.483516484,WN,,,,,,,
BWI,SAT,62,1,WN,212.6129032,16.20967742,,,,,,,,
BWI,SAN,61,1,WN,321.4262295,16.42622951,,,,,,,,
BWI,SFO,31,1,UA,319,12.22580645,,,,,,,,
BWI,SIG,55,2,AA,207.4727273,12.41818182,FL,,,,,,,
BWI,STL,140,1,WN,120.2285714,16.23571429,,,,,,,,
BWI,TPA,235,2,FL,127.1617021,17.34042553,WN,,,,,,,
BWI,JAN,56,1,WN,137.5714286,11.85714286,,,,,,,,
BWI,PBI,86,2,FL,122.5116279,22.09302326,WN,,,,,,,
BGR,DET,62,2,9E,120.8709677,15.59677419,OH,,,,,,,
BGR,JFK,61,1,OH,69.85245902,9.491803279,,,,,,,,
BRW,FAI,30,1,AS,68.3,15.06666667,,,,,,,,
BTR,FWS,240,1,MQ,64.54583333,13.12083333,,,,,,,,
BTR,IAH,238,1,XE,50.10504202,13.30252101,,,,,,,,
BTR,MEM,88,1,9E,52.02272727,0.954545455,,,,,,,,
BLI,LAS,16,1,AS,127.8125,13.125,,,,,,,,
S07,APA,31,1,OO,115.9354839,10.80645161,,,,,,,,
S07,PDX,118,1,OO,33.3220339,2.093220339,,,,,,,,
S07,SLC,56,1,OO,75.92857143,7.821428571,,,,,,,,
S07,SFO,62,1,OO,72.70967742,8.177419355,,,,,,,,
BIL,APA,133,2,OO,64.84962406,10.54135338,UA,,,,,,,
BIL,MSP,28,1,NW,96.53571429,8.785714286,,,,,,,,
BIL,SLC,142,1,OO,60.84507042,19.57042254,,,,,,,,
BGM,DET,57,1,9E,66.0877193,6.842105263,,,,,,,,
BHM,CLT,31,1,YV,49.22580645,1.451612903,,,,,,,,
BHM,ORD,150,4,OO,92.82666667,11.26666667,WN,XE,YV,,,,,
BHM,DAL,87,1,WN,98.96551724,8.850574713,,,,,,,,
BHM,APA,46,2,OO,156.2391304,11.93478261,YV,,,,,,,
BHM,DET,88,2,9E,94.40909091,3.681818182,OH,,,,,,,
BHM,FWS,93,1,AA,98.93548387,37.06451613,,,,,,,,
BHM,IAH,257,2,WN,96.41634241,17.39299611,XE,,,,,,,
BHM,VQQ,31,1,WN,54.09677419,26.09677419,,,,,,,,
BHM,LAS,31,1,WN,236.8709677,-2.612903226,,,,,,,,
BHM,SDF,57,1,WN,51.07017544,6.052631579,,,,,,,,
BHM,MEM,92,1,9E,41.83695652,4.054347826,,,,,,,,
BHM,MSP,14,1,9E,123.6428571,3.571428571,,,,,,,,
BHM,BNA,58,1,WN,35.81034483,4.551724138,,,,,,,,
BHM,MSY,57,1,WN,58.96491228,10.12280702,,,,,,,,
BHM,JFK,64,1,OH,101.171875,-4.921875,,,,,,,,
BHM,MCO,63,1,WN,70.19047619,9.428571429,,,,,,,,
BHM,PHX,243,1,WN,65.71193416,3.909465021,,,,,,,,
BHM,STL,31,1,WN,65.19354839,-1.709677419,,,,,,,,
BHM,TPA,63,1,WN,67.33333333,7.841269841,,,,,,,,
BIS,ORD,31,1,OO,82.58064516,7.741935484,,,,,,,,
BIS,APA,88,1,OO,74.69318182,9.193181818,,,,,,,,
BIS,MSP,119,2,9E,56.33613445,14.73109244,NW,,,,,,,
BMI,ORD,88,1,MQ,28.31818182,6.897727273,,,,,,,,
BMI,DET,31,1,9E,48.83870968,18.48387097,,,,,,,,
BMI,FWS,31,1,MQ,106.9354839,15.74193548,,,,,,,,
BMI,MCO,18,1,FL,122.5555556,17.94444444,,,,,,,,
BOI,ORD,62,2,OO,171.8709677,22.67741935,UA,,,,,,,
BOI,APA,162,3,F9,85.11111111,10.10493827,OO,UA,,,,,,
BOI,LAS,62,1,WN,80.67741935,-4.838709677,,,,,,,,
BOI,LAX,178,1,OO,66.29213483,2.191011236,,,,,,,,
BOI,MFR,1,1,OO,0,0,,,,,,,,
BOI,OAK,62,1,WN,80.59677419,1.919354839,,,,,,,,
BOI,PHX,274,1,US,55.09854015,3.905109489,,,,,,,,
BOI,PDX,57,1,WN,58.89473684,1.894736842,,,,,,,,
BOI,RNO,62,1,WN,46.06451613,-4.322580645,,,,,,,,
BOI,SLC,216,3,DL,45.85185185,7.657407407,OO,WN,,,,,,
BOI,SFO,122,1,OO,79.68852459,9.049180328,,,,,,,,
BOI,SEA,62,1,WN,67.11290323,4.258064516,,,,,,,,
